O:-)	angel
O:)	angel
O:‑)	angel
0:)	angel
0:3	angel
0:‑)	angel
0:‑3	angel
0;^)	angel
3:[	angry
|-(	angry
>:-(	angry
>:((((	angry
>:(	angry
:|	annoyed
:‑|	annoyed
|‑O	bored
:-#	braces
:*>	cat
*\0/*	cheer
\o/	cheer
0~\	cigarette
*:o)	clown
|;‑)	cool
&-|	crying
:'‑(	crying
:'(	crying
:'-(	crying
;-(	crying
-]	cyclops
X-(	dead
>;)	devil
>:)	devil
%)	drunk
:$	embarrassed
://)	embarrassed
://3	embarrassed
:-}	embarrassed
;3	evil
>:3	evil
>:‑)	evil
>;)	evil
}:‑)	evil
}:)	evil
3:)	evil
3:‑)	evil
8:-)	glasses
:}	grin
:)	happy_face
:-3	happy_face
:->	happy_face
:-]	happy_face
:3	happy_face
:>	happy_face
:]	happy_face
:^)	happy_face
:c)	happy_face
:o)	happy_face
:}	happy_face
:‑)	happy_face
=)	happy_face
=]	happy_face
8)	happy_face
8-)	happy_face
{:-)	hat
[:-)	hat
</3	heart
<3	heart
x3	heart
<\3	heart
:-,	hmm
:-|	hmm
D:	horror
D:<	horror
D;	horror
D=	horror
DX	horror
D‑':	horror
<:-I	idiot
|~(	k.o.
%-|	k.o.
:×	kiss
:*	kiss
:*)	kiss
:-)(-:	kiss
:o)	laugh
:-D	laugh
8D	laugh
8‑D	laugh
:-))	laugh
:->	laugh
:D	laugh
:‑D	laugh
=3	laugh
=D	laugh
B^D	laugh
XD	laugh
X‑D	laugh
xD	laugh
x‑D	laugh
:-{}	lipstick
o><	man
:-)8	man
p-)	monocle
:-{)	mustache
:-#|	mustache
#‑)	party
P-3	pirate
+-:-)	pope
-:-)	punk
=:-(	punk rocker
:-$.	quiet
:-X	quiet
[:]	robot
*<:-)	santa_claus
:-@	scream
:#	sealed_lips
:X	sealed_lips
:‑#	sealed_lips
:‑&	sealed_lips
:‑X	sealed_lips
:&	sealed_lips
:-ss)	shiver
O_O	shock
:‑###	sick
:-O	singe
:\	skeptical
,:-l	skeptical
:/	skeptical
:L	skeptical
:S	skeptical
:‑.	skeptical
:‑/	skeptical
=/	skeptical
=L	skeptical
=\	skeptical
>.<	skeptical
>:/	skeptical
|-I	sleep
:-?	smoke
:-Q	smoking
:-&	speechless
%-)	stare
:-7	stumped
8-)	sunglasses
8-O	surprise
:-0	surprise
:O	surprise
:o	surprise
:‑O	surprise
:‑o	surprise
>:O	surprise
8‑0	surprise
:'‑)	tears_of_joy
:') 	tears_of_joy
:'-)	tears_of_joy
:-p	tongue
:‑J	tongue_in_cheek
:-P	tongue_out
:b	tongue_sticking_out
:p	tongue_sticking_out
:þ	tongue_sticking_out
:‑P	tongue_sticking_out
:‑b	tongue_sticking_out
:‑p	tongue_sticking_out
:‑p	tongue_sticking_out
:‑Þ	tongue_sticking_out
:‑þ	tongue_sticking_out
:‑þ	tongue_sticking_out
=p	tongue_sticking_out
>:P	tongue_sticking_out
X‑P	tongue_sticking_out
d:	tongue_sticking_out
xp	tongue_sticking_out
x‑P	tongue_sticking_out
x‑p	tongue_sticking_out
:((((	unhappy
:@	unhappy
:-||	unhappy
:<	unhappy
:[	unhappy
:c	unhappy
:{	unhappy
:‑(	unhappy
:‑<	unhappy
:‑[	unhappy
:‑c	unhappy
;(	unhappy
>:[	unhappy
:(	unhappy
:,(	unhappy
:-<.	unhappy
:-(	unhappy
:-F	vampire
:-E	vampire
:-[	vampire
;-)	wink
;)	wink
,-)	wink
*)	wink
*-)	wink
:‑,	wink
;)	wink
;-]	wink
;D	wink
;]	wink
;^)	wink
;‑)	wink
:-)-8	woman
:-V	yelling
:-)	Neubildung
;o)	Neubildung
;-p	Neubildung
;p	Neubildung
;O)	Neubildung
;op	Neubildung
:))	Neubildung
:)(10	Neubildung
:))	Neubildung
:)))	Neubildung
:D”	Neubildung
:))))))	Neubildung
:))	Neubildung
:(((((	Neubildung
:)))))))	Neubildung
:):):)	Neubildung
:-)))	Neubildung
:)))	Neubildung
:-)​	Neubildung
:3c	Neubildung
:))))))))))	Neubildung
:)(:	Neubildung
:)​	Neubildung
:):):):):):):))::):)):):):):):):):)):):):):):):)):):):):):):):):):):):):):)):):):):):):):):)	Neubildung
:D)┸┓ﾜｧｰ	Neubildung
:):	Neubildung
:)♡	Neubildung
:)#V	Neubildung
:))))	Neubildung
:)))))))))))))))))))))	Neubildung
:)2	Neubildung
:)))))))))))	Neubildung
:))2	Neubildung
:))))))))	Neubildung
:))))))))))))))))))))))))	Neubildung
:)”	Neubildung
:))))))))))))	Neubildung
:):):):)	Neubildung
:-)))))))))	Neubildung
:):):):):):)	Neubildung
:DDDDD	Neubildung
:D:D:D	Neubildung
:)))))	Neubildung
