Anzahl saemtlicher Tags		2775
Anzahl falscher Tags		2
uebereinstimmung		99.93
Fehlerrate		0.07
Token		Goldtag		Programmtag
Hey			Rest		Rest
Benutzer-entfernt			Rest		Rest
,			Rest		Rest
alles			Rest		Rest
Liebe			Rest		Rest
und			Rest		Rest
Gute			Rest		Rest
zum			Rest		Rest
Geburtstag			Rest		Rest
!			Rest		Rest
Hoffe			Rest		Rest
du			Rest		Rest
hattest			Rest		Rest
einen			Rest		Rest
tollen			Rest		Rest
Tag			Rest		Rest
!			Rest		Rest
:)			Emoticon		Emoticon
🌻			Emoji		Emoji
Hey			Rest		Rest
Benutzer-entfernt			Rest		Rest
,			Rest		Rest
alles			Rest		Rest
Liebe			Rest		Rest
und			Rest		Rest
Gute			Rest		Rest
zum			Rest		Rest
Geburtstag			Rest		Rest
!			Rest		Rest
Hoffe			Rest		Rest
du			Rest		Rest
hattest			Rest		Rest
einen			Rest		Rest
tollen			Rest		Rest
Tag			Rest		Rest
!			Rest		Rest
:)			Emoticon		Emoticon
🌻			Emoji		Emoji
Hey			Rest		Rest
Benutzer-entfernt			Rest		Rest
,			Rest		Rest
alles			Rest		Rest
Liebe			Rest		Rest
und			Rest		Rest
Gute			Rest		Rest
zum			Rest		Rest
Geburtstag			Rest		Rest
!			Rest		Rest
Hoffe			Rest		Rest
du			Rest		Rest
hattest			Rest		Rest
einen			Rest		Rest
tollen			Rest		Rest
Tag			Rest		Rest
!			Rest		Rest
:)			Emoticon		Emoticon
🌻			Emoji		Emoji
Hey			Rest		Rest
Benutzer-entfernt			Rest		Rest
,			Rest		Rest
alles			Rest		Rest
Liebe			Rest		Rest
und			Rest		Rest
Gute			Rest		Rest
zum			Rest		Rest
Geburtstag			Rest		Rest
!			Rest		Rest
Hoffe			Rest		Rest
du			Rest		Rest
hattest			Rest		Rest
einen			Rest		Rest
tollen			Rest		Rest
Tag			Rest		Rest
!			Rest		Rest
:)			Emoticon		Emoticon
🌻			Emoji		Emoji
Hey			Rest		Rest
Benutzer-entfernt			Rest		Rest
,			Rest		Rest
alles			Rest		Rest
Liebe			Rest		Rest
und			Rest		Rest
Gute			Rest		Rest
zum			Rest		Rest
Geburtstag			Rest		Rest
!			Rest		Rest
Hoffe			Rest		Rest
du			Rest		Rest
hattest			Rest		Rest
